Permission Name,API Name,Description
Allows user access activations,AccessActivation,Allows user access activations.
Access Application Form-Related Functionality,AccessApplicationFormObjects,Grants users access to application form-related objects and its associated functionality.
Manage Budgets,AccessBudgetManagement,Lets users view and manage budget management records.
Access Data Cloud Data Explorer,AccessCdpDataExplorer,Allows user access Data Cloud Data Explorer.
Access Data Cloud Profile Explorer,AccessCdpProfileExplorer,Allows user access Data Cloud Profile Explorer.
Access Experience Management,AccessCMC,Access pages and dashboards available in Experience Management.
Access drag-and-drop content builder,AccessContentBuilder,Create and manage email templates and content in a drag-and-drop builder.
Allows user access Data Cloud setup menu,AccessCustomerDataCloudSetup,Allows user access Data Cloud setup menu
Provides access to Financial Services Email prompt templates,AccessDisputePrompts,Provides access to Financial Services Email prompt templates.
Access Education Cloud Objects,AccessEducationCloud,Gives users access to Education Cloud objects.
Access Education Cloud as Guest,AccessEducationCloudAsGuest,Get restricted access to Education Cloud entities available to guest users.
Education Cloud for Experience Cloud User,AccessEducationCloudCmty,Gives Experience Cloud users access to Education Cloud.
Access Education Cloud Review Features,AccessEducationCloudReview,Gives users access to Education Cloud application review features.
Access Einstein Autofill,AccessEinsteinAutofill,Allows users to access the Einstein Autofill feature.
Financial Accounts User,AccessFinancialAccounts,Grants users the access to financial accounts data
Allows user access Data Cloud,AccessGeniePlatform,Allows user access Genie Platform.
Access Patient Support Programs as a Case Agent,AccessPSPasCaseAgents,Give case agents access to patient support programs.
Access Patient Support Programs as a Program Lead,AccessPSPasProgramLead,Give program leads access to patient support programs.
Access Pulse Checks,AccessPulseChecks,Provide users with access to Pulse Checks.
Allows user access segments,AccessSegment,Allows user access segments.
Access Service Einstein,AccessServiceEinstein,Grants users the access to AI-powered copilot actions for capturing service process requests.
Grant users permission to SfDrive,AccessSfDrive,Grant users permission to SfDrive
Public Complaint Management User,AccessToComplaintMgmt,Grants users the access to Complaint Management Data
Dispute Management User,AccessToDisputeManagement,Grants users the access to Dispute Management Data
Service Process User,AccessToServiceProcess,Grants users the access to Service Process Data
Take Custom Walkthroughs,AccessWalkthroughs,View and complete custom walkthroughs in Lightning Experience.
Manage Account Addresses,AccountAddressManager,"Create, update, and delete contact point addresses on accounts."
Account Switcher User,AccountSwitcherUser,Let site members access the Account Switcher.
Expose patient support programs powered by Einstein generative AI,AccsPtntSuptPgmUseEinstein,Expose patient support programs powered by Einstein generative AI
Actionable Segmentation Outreach,ActionableListCompUser,Gives users access to engage with list members.
Actionable Segmentation Admin,ActionableListConfigUser,Gives users access to manage actionable list definitions.
Actionable Segmentation List Manager,ActionableListCreator,Gives users access to manage actionable lists.
Actionable Segmentation Objects,ActionableListUser,Gives users access to objects that are required to use the Actionable Segmentation feature.
Permission to access the Action Plans feature,ActionPlansUserAccess,Enables the permission set license for the Action Plans feature
Activate Contracts,ActivateContract,Change contract status to Activated.
Activate or Deactivate Flows,ActivateDeactivateNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to activate and deactivate flows."
Activate Orders,ActivateOrder,Change order status to Activated.
Enable System Mode Flow Activation,ActivateSystemModeFlows,Allows a user to activate system flows.
Access Activities,ActivitiesAccess,"Access tasks, events, calendar, and email."
Add CRM Analytics Remote Connections,AddAnalyticsRemoteConnections,Add connections to replicate external data.
Add Assignment Element to Flows,AddAsgntElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Assignment element to flows."
Add Collection Filter Element to Flows,AddCollFltrElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Collection Filter element to flows."
Add Collection Sort Element to Flows,AddCollSrtElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Collection Sort element to flows."
Add Create Records Element to Flows,AddCreaRecElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Create Records element to flows."
Add Decision Element to Flows,AddDecisionElmntNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Decision element to flows."
Add Delete Records Element to Flows,AddDelRecElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Delete Records element to flows."
Add People to Direct Messages,AddDirectMessageMembers,Lets a user add others to direct messages the user is in.
Add Get Records Element to Flows,AddGetRecElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Get Records element to flows."
Add Loop Element to Flows,AddLoopElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Loop element to flows."
Add Path Experiment Element to Flows,AddPathExprmElmntNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Path Experiment element to flows."
Add Subflow Element to Flows,AddSubflowElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Subflow element to flows."
Add Transform Element to Flows,AddTrfmElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Transform element to flows."
Add Update Records Element to Flows,AddUpdtRecElmntToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Update Records element to flows."
Add Wait Element to Flows,AddWaitToNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to add the Wait for Amount of Time element, the Wait Until Date element, and the Wait for Conditions element to flows."
Add Recipients to CRM Analytics Notifications,AddWaveNotificationRecipients,"Specify recipients of email and Slack notifications from CRM Analytics dashboard widgets. In email, all recipient addresses appear in the “to:” field, and recipients can see each other’s email addresses regardless of User Sharing settings."
Access Event Monitoring Analytics Templates and Apps,AdminAnalyticsUser,Can create and use apps from Event Monitoring Analytics App template.
Manage Administration of Provisioning,AdminProvisioning,"Manage provisioning tasks, such as scheduling provisioning jobs"
Access Adoption Analytics Templates and Apps,AdoptionAnalyticsUser,Can create and use apps from Adoption Analytics App template.
Advanced Csv Data Import User Permission,AdvancedCsvDataImportUser,Advanced Csv Data Import User Permission
Advanced Pricing User,AdvancedPricingUser,Use the Consumer Goods advanced pricing feature.
Use Assessment Envelope objects via Experience Cloud sites,AECommunityAccess,Use Assessment Envelope objects via Experience Cloud sites
Agentforce Service Agent User,AgentforceServiceAgentUser,Analyze topics and perform actions as an autonomous AI service agent.
AI Commerce Agent,AICommerceAgentUser,Give AI access to Commerce APIs.
Create AI Insight Objects,AICreateInsightObjects,"Create objects associated with AI record insights, including the insight, value, reason, and feedback."
View AI Insight Objects,AIViewInsightObjects,"View objects associated with AI record insights, including the insight, value, reason, and feedback."
View AI Accelerator Predictions.,AllowAIAccelerator,View real-time predictions made by AI Accelerator for your use cases.
Email-Based Identity Verification Option,AllowEmailIC,"Provides an option to use email to verify identity, even if the user has a verified phone number."
Allow the user Basic Einstein Relationship Insights access permissions.,AllowERIBasicAccess,Allow the user Basic ERI access permissions.
Einstein Relationship Insights: Growth add-on.,AllowERIGrowthAccess,Allow the user Growth ERI access permissions.
Einstein Relationship Insights: Starter add-on.,AllowERIStarterAccess,Allow the user Starter ERI access permissions.
Einstein Relationship Insights: Twitter add-on.,AllowERITwitterAccess,Allow the user Twitter ERI access permissions.
Net Zero Cloud: Disclosure and Compliance Hub User,AllowGnrcDisclsFrmwk,Generate disclosure and compliance reports.
Download CSV Template and Upload Data,AllowIndustriesCSVDataLoading,"Download CSV template file, add data to the file, and upload the data to Net Zero Cloud."
Lightning Login User,AllowLightningLogin,"Use Lightning Login for Salesforce logins, which allows authentication with Salesforce Authenticator instead of a password. Users can individually enroll or cancel their enrollment in Lightning Login."
"Manage Environmental, Social, and Governance Programs",AllowNZCMngEsgPgm,"Manage environmental, social, and governance initiatives to track progress and measure impact on overall emissions reduction."
Allow user to use Object Detection for prediction. (Retired),AllowObjectDetection,Allows a user to use Object Detection for prediction.
Allow user to train and generate models for Object Detection. (Retired),AllowObjectDetectionTraining,Allows user to train and generate models for Object Detection.
Allow user to use Referral Scoring.,AllowReferralScoring,Allows a user to use Referral Scoring Feature.
Building Energy Intensity User,AllowSCBEI,Perform building energy intensity calculations and use them to fill data gaps.
Lock and Recalculate Carbon Footprints User,AllowSCCalcAndLock,Manage locking and recalculation of carbon footprints.
Carbon Accounting User,AllowSCCarbonAccounting,Perform carbon emissions calculations related to the energy use data.
Carbon Credit Allocation User,AllowSCCarbonCreditAlloc,Allocate carbon credits to offset the emissions inventory.
Experience External Engagement Management User,AllowSCCmtyExtEngMgmt,Allow suppliers to manage their sustainability data using Experience Cloud.
Sustainability Credit Sync User,AllowSCCreditSync,Sync Sustainability Credits from a purchase.
Data Gap Filling User,AllowSCDGF,Identify and fill gaps in energy consumption data using benchmarking data.
Forecast Emissions User,AllowSCEmssnsForecasting,Forecast emissions for future years based on advanced account forecasting.
Perform Carbon Accounting for Multiple Companies User,AllowSCExpansionUseCase,"Perform carbon accounting for multiple companies, such as subsidiaries of the parent company or external partners, within a single organization."
External Engagement Management User,AllowSCExternalEngMgmt,Collaborate with suppliers and track their sustainability data.
Scope 3 Procurement Hub User,AllowSCScope3Hub,Allow management of procurement categories and mapping them to standard procurement emission categories.
Manage Social and Governance data For Multiple Companies User,AllowSCSnGAffiliates,"Manage social and governance data for multiple companies, such as subsidiaries of the parent company or external partners within a single organization."
SNG Management User,AllowSCSNGManagement,"Manage Social and Governance, Generate reports for social and governance data."
Target Setting User,AllowSCTargetSetting,Set company-level targets for emissions based on the emissions activity and by year.
Waste Management User,AllowSCWasteManagement,Track waste-related data and calculate emissions related to waste.
Water Accounting User,AllowSCWaterManagement,Allows users to track their water activities.
Salesforce Surveys Advanced Features,AllowSurveyAdvancedFeatures,Use advanced features of Salesforce Surveys.
Knowledge One,AllowUniversalSearch,Replaces the Articles tab with the Knowledge tab.
View and Edit Converted Leads,AllowViewEditConvertedLeads,View and edit converted lead records.
Allow View Knowledge,AllowViewKnowledge,Allow user to view knowledge articles
Allows a user to use Visit Recommendation for Retail Execution.,AllowVisitRecommendation,Allows a user to use Visit Recommendation for Retail Execution.
Alumni Community Pages,AlumniCommunityPages,Provides access to the alumni community pages.
Allow the user to run queries with the Analytics Query Service,AnalyticsQueryServiceConsumer,Allow the user to run queries with the Query for Datapipelines.
Apex REST Services,ApexRestServices,Allow access to Apex REST services
API Enabled,ApiEnabled,Access any Salesforce.com API.
Api Only User,ApiUserOnly,Access Salesforce.com only through a Salesforce.com API.
Access to manage the template framework apps,AppFrameworkManageApp,"Allows access to create, update, and manage apps from templates, analytics, data, and other assets."
