Permission Group,Permission Name,Permission Description,Resource URL,API Name
Admin Permissions,Maintain Your Users' Opportunity Teams,Allows the user to mass transfer team members.,https://help.salesforce.com/s/articleView?id=sf.opportunity_team_members_adding.htm&type=5&language=en_US,UseTeamReassignWizards
Admin Permissions,Create and Upload Change Sets,"Allows the user to create, edit, and upload outbound Change Sets.",https://help.salesforce.com/s/articleView?id=sf.changesets.htm&language=en_US&type=5,OutboundMigrationToolsUser
Admin Permissions,Customize Application,Allows the user to customize the Salesforce Organization using the App Setup menu.,https://help.salesforce.com/s/articleView?id=000194001&language=en_US&type=1,CustomizeApplication
Admin Permissions,Deploy Change Sets,Allows the user to deploy inbound Change Sets.,https://help.salesforce.com/s/articleView?id=sf.changesets.htm&language=en_US&type=5,InboundMigrationToolsUser
Admin Permissions,Download AppExchange Packages,Allows the user to install managed AppExchange apps.,https://help.salesforce.com/s/articleView?id=sf.distribution_installing_packages.htm&type=5&language=en_US,InstallPackaging
Admin Permissions,Manage Billing,Allows the user to access Checkout and purchase additional licenses and features.,https://help.salesforce.com/s/articleView?id=000381191&type=1&language=en_US,EditBillingInfo
Admin Permissions,Manage Business Hours Holidays,Allows the user to edit business hours and holidays.,https://help.salesforce.com/s/articleView?id=sf.customize_supporthours.htm&language=en_US&type=5,ManageBusinessHourHolidays
Admin Permissions,Manage Cases,"Allows the user to administer case settings, to include Email-to-Case and mass transfer of cases.",https://help.salesforce.com/s/articleView?id=sf.customize_supportrules.htm&language=en_US&type=5,ManageCases
Admin Permissions,Manage Connected Apps,"Allows the user to manage, create, and delete OAuth applications.",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_about.htm&language=en_US&type=5,ManageRemoteAccess
Admin Permissions,Manage Content Permission,Allows the user to configure library content in Salesforce.,https://help.salesforce.com/s/articleView?id=sf.content_workspace_perm.htm&language=en_US&type=5,ManageContentPermissions
Admin Permissions,Manage Email Client Configurations,"Allows the user to create, edit, and delete Outlook configurations for Salesforce for Outlook.",https://help.salesforce.com/s/articleView?id=sf.outlookcrm_config_about.htm&language=en&type=5,ManageEmailClientConfig
Admin Permissions,Manage Mobile Configurations,Allows the user access to Salesforce Mobile features.,https://trailhead.salesforce.com/en/content/learn/modules/salesforce1_mobile_app,ManageMobile
Admin Permissions,Manage Package Licenses,Allows the user to manage package licenses.,https://help.salesforce.com/s/articleView?id=sf.distribution_assigning_user_licenses.htm&language=en_US&type=5,ManagePackageLicenses
Admin Permissions,Manage Record Types and Layouts for Files,"Allows users to administer content in non-Chatter enabled Salesforce Organizations (in Chatter-enabled Salesforce Organizations use the ""Customize Application"" permission).",https://help.salesforce.com/s/articleView?id=sf.users_profiles_record_types.htm&type=5&language=en_US,ManageContentTypes
Admin Permissions,Manage Sharing,"Allows the user to manage sharing configurations, including Salesforce Organization-wide defaults.",https://help.salesforce.com/s/articleView?id=sf.admin_sharing.htm&language=en_US&type=5,ManageSharing
Admin Permissions,Manage Territories ,Allows the user to make changes in the territories settings in the Setup menu.,https://help.salesforce.com/s/articleView?id=sf.tm2_manage_territories_intro.htm&type=5&language=en_US,ManageTerritories
Admin Permissions,Manage Users,"Allows the user to create, edit, and deactivate users and manage security settings to include profiles and roles.",https://help.salesforce.com/s/articleView?id=sf.admin_users.htm&type=5&language=en_US,ManageUsers
Admin Permissions,Transfer Record,Allows the user to change the owner of most records.,https://help.salesforce.com/s/articleView?id=sf.data_about_transfer.htm&language=en_US&type=5,TransferAnyEntity
Security Admin Permissions,IP Restrict Requests,Allows the portal user to only login from a limit of 5 IPs' addresses.,https://help.salesforce.com/s/articleView?language=en_US&type=1&id=Why-a-system-admin-can-not-add-more-than-5-IP-addresses-to-the-profile,IPRestrictRequests
Security Admin Permissions,Is Single Sign-on Enabled,Allows a user to sign on using delegated username and password authentication to a corporate database instead of the Salesforce user database.,https://help.salesforce.com/s/articleView?id=sf.sso_about.htm&language=en_US&type=5,IsSsoEnabled
Security Admin Permissions,Manage Auth. Providers,Allows the user to create and edit Auth. Providers.,https://help.salesforce.com/s/articleView?id=sf.sso_provider_sfdc.htm&language=en_US&type=5,ManageAuthProviders
Security Admin Permissions,Manage IP Address,Allows the user to input IP addresses in Network Access settings and IP Restrictions on the profile inside of Salesforce.,none,ManageIpAddresses
Security Admin Permissions,Manage IP Addresses,"Allows the user to create, edit, and delete trusted IP ranges.",https://help.salesforce.com/s/articleView?id=sf.login_ip_ranges.htm&language=en_US&type=5,ManageIpAddresses
Security Admin Permissions,Manage Login Access Policies,Allows the user to specify the login access policies that apply to Administrators and Support Organizations.,https://help.salesforce.com/s/articleView?id=sf.controlling_login_access.htm&siteLang=en_US&type=5&language=en_US,ManageLoginAccessPolicies
Security Admin Permissions,Manage Password Polices,Allows the user to set password restrictions and lockout policies for users.,https://help.salesforce.com/s/articleView?id=sf.admin_password.htm&type=5&language=en_US,ManagePasswordPolicies
Security Admin Permissions,Manage Multi-factor Authentication,Allows the user to manage the time-based token secret for Multi-Factor Authentication.,https://help.salesforce.com/s/articleView?id=sf.security_overview_2fa.htm&type=5&language=en_US,DelegatedTwoFactor
